RESULTADO GERAL DAS MÉTRICAS POR CLASSE E RESOLUÇÕES : GLCM - ACURÁCIA E DESVIO PADRÃO (50 RODADAS | RESOLUÇÃO DE 70 ATÉ 100%)

       |      1%     |      2%     |      3%     |      4%     |      5%     |      6%     |      7%     
CLASSE |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   |   ACC|STD   
  1      0.837|0.101   0.826|0.121   0.806|0.109   0.809|0.105   0.845|0.113   0.823|0.126   0.845|0.120
  2      0.815|0.103   0.831|0.104   0.766|0.099   0.697|0.154   0.695|0.122   0.734|0.129   0.685|0.124
  3      0.472|0.125   0.446|0.140   0.378|0.140   0.477|0.140   0.423|0.143   0.425|0.144   0.420|0.134
  4      0.480|0.109   0.442|0.149   0.383|0.110   0.440|0.116   0.417|0.140   0.358|0.103   0.382|0.134
  5      0.748|0.115   0.729|0.137   0.698|0.131   0.752|0.108   0.698|0.114   0.652|0.099   0.611|0.151
  6      0.843|0.086   0.860|0.090   0.868|0.085   0.868|0.079   0.938|0.066   0.811|0.096   0.868|0.091
  7      0.209|0.104   0.194|0.096   0.177|0.084   0.182|0.097   0.182|0.103   0.209|0.108   0.151|0.091

MÉDIA    0.629|0.106   0.618|0.120   0.582|0.108   0.604|0.114   0.600|0.114   0.573|0.115   0.566|0.120


SOMATÓRIO DOS ESCORES DE ACERTOS E ERROS DAS CLASSES EM CADA RODADA POR RESOLUÇÃO (50 RODADAS | RESOLUÇÃO DE 70 ATÉ 100%)

       |      1%     |      2%     |      3%     |      4%     |      5%     |      6%     |      7%     
RODADA |   ACE|ERR   |   ACE|ERR   |   ACE|ERR   |   ACE|ERR   |   ACE|ERR   |   ACE|ERR   |   ACE|ERR   
 32        3.565000e+02|3.350000e+01       333|3.350000e+01       2.915000e+02|2.450000e+01       3.915000e+02|000       279|033       2.985000e+02|048       330|024
 33        331|018       311|3.550000e+01       3.345000e+02|1.250000e+01       336|2.750000e+01       3.635000e+02|022       321|023       3.145000e+02|033
 34        3.455000e+02|2.550000e+01       318|2.650000e+01       3.315000e+02|1.750000e+01       371|012       3.295000e+02|3.650000e+01       3.615000e+02|1.550000e+01       3.025000e+02|1.150000e+01
 35        378|2.500000e+00       3.345000e+02|1.850000e+01       289|023       312|3.150000e+01       3.025000e+02|017       3.095000e+02|4.250000e+01       321|040
 36        3.275000e+02|1.850000e+01       3.445000e+02|1.850000e+01       331|3.150000e+01       335|3.650000e+01       3.495000e+02|010       311|3.550000e+01       3.295000e+02|1.750000e+01
 37        3.325000e+02|3.250000e+01       3.695000e+02|3.150000e+01       334|2.050000e+01       302|4.550000e+01       298|2.450000e+01       2.735000e+02|1.950000e+01       339|3.150000e+01
 38        362|4.500000e+00       351|019       2.795000e+02|4.650000e+01       298|3.850000e+01       3.495000e+02|033       3.135000e+02|3.350000e+01       310|3.250000e+01
 39        3.445000e+02|1.350000e+01       331|1.950000e+01       339|038       337|2.550000e+01       2.935000e+02|058       2.985000e+02|5.750000e+01       333|034
 40        355|022       3.395000e+02|018       301|3.850000e+01       317|4.450000e+01       343|1.850000e+01       335|2.550000e+01       3.035000e+02|035
 41        3.675000e+02|022       3.645000e+02|011       308|3.450000e+01       3.305000e+02|027       327|016       3.135000e+02|034       314|023
 42        330|9.500000e+00       3.835000e+02|019       361|1.850000e+01       349|3.350000e+01       2.545000e+02|045       3.135000e+02|055       3.275000e+02|3.750000e+01
 43        356|1.650000e+01       3.405000e+02|2.150000e+01       2.795000e+02|2.750000e+01       325|033       278|041       2.875000e+02|6.250000e+01       2.755000e+02|041
 44        384|011       370|006       2.885000e+02|034       343|018       3.235000e+02|015       283|6.350000e+01       2.885000e+02|3.150000e+01
 45        365|018       413|9.500000e+00       299|016       3.055000e+02|040       3.305000e+02|1.150000e+01       302|058       320|1.850000e+01
 46        3.305000e+02|043       2.965000e+02|029       3.205000e+02|034       308|043       3.405000e+02|024       3.055000e+02|025       2.725000e+02|037
 47        3.165000e+02|030       312|018       3.215000e+02|3.050000e+01       3.345000e+02|029       3.425000e+02|2.050000e+01       323|1.650000e+01       3.175000e+02|016
 48        3.335000e+02|2.350000e+01       3.155000e+02|035       287|4.150000e+01       310|4.150000e+01       3.355000e+02|026       3.225000e+02|2.650000e+01       2.845000e+02|3.950000e+01
 49        3.095000e+02|3.250000e+01       3.645000e+02|012       3.145000e+02|2.850000e+01       303|033       3.445000e+02|027       287|3.950000e+01       321|4.350000e+01
 50        3.395000e+02|2.850000e+01       3.315000e+02|026       323|1.550000e+01       3.235000e+02|3.150000e+01       294|3.450000e+01       3.825000e+02|1.450000e+01       315|037


MÉDIA DOS TOTAIS DOS ESCORES DE ACERTOS E ERROS POR CLASSE EM CADA RESOLUÇÃO (50 RODADAS | RESOLUÇÃO DE 70 ATÉ 100%)

